id,label,alt_labels,parent_id
SK3829,PCI Express PCIe,pciexpresspcie,43232306
SK3841,Synplicity Synplify,synplicitysynplify,43232605
SK3852,Very high speed integrated circuit VHSIC hardware description language VHDL simulation software,veryhighspeedintegratedcircuitvhsichardwaredescriptionlanguagevhdlsimulationsoftware,43232605
SK3853,Very high-speed integrated circuit VHSIC hardware description language VHDL,"very high speed integrated circuit vhsic hardware description language vhdl,very highspeed integrated circuit vhsic hardware description language vhdl,veryhigh-speedintegratedcircuitvhsichardwaredescriptionlanguagevhdl",43232402
SK3858,Advanced boolean expression language ABEL,advancedbooleanexpressionlanguageabel,43232402
SK3865,Digital timing diagram editing software,digitaltimingdiagrameditingsoftware,43232605
SK3883,Microwave circuit simulation software,microwavecircuitsimulationsoftware,43232605
SK3887,Printed circuit board design software,printedcircuitboarddesignsoftware,43232604
SK3923,Fugitive emission leak detection software,fugitiveemissionleakdetectionsoftware,43232608
SK3941,Anthropometric databases,anthropometricdatabases,43232306
SK3955,Incident tracking software,incidenttrackingsoftware,43232306
SK3980,Computational Dynamics STAR-CD,"computational dynamics star cd,computational dynamics starcd,computationaldynamicsstar-cd",43232604
SK4007,Assembly line balancing software,assemblylinebalancingsoftware,43232608
SK4008,Automatic dynamic incremental nonlinear analysis ADINA,automaticdynamicincrementalnonlinearanalysisadina,43232605
SK4011,Decision support software,decisionsupportsoftware,43231511
SK4017,Facilities design software,facilitiesdesignsoftware,43232604
SK4018,Facilities planning software,facilitiesplanningsoftware,43232604
SK4024,Manhattan Associates PkMS Pickticket,manhattanassociatespkmspickticket,43231508
SK4040,Supply chain capacity planning software,supplychaincapacityplanningsoftware,43231506
SK4046,AEMC DataView,aemcdataview,43232605
SK4061,Cadence Incisive Enterprise Simulator,cadenceincisiveenterprisesimulator,43232605
SK4062,Cadence Incisive Enterprise Specman Elite Testbench,cadenceincisiveenterprisespecmanelitetestbench,43232605
SK4069,Synopsys electronic design software,synopsyselectronicdesignsoftware,43232605
SK4091,Digital image correlation DIC software,digitalimagecorrelationdicsoftware,43232605
SK4108,Lambda Research OSLO,lambdaresearchoslo,43232604
SK4181,Reactor excursion and release analysis program RELAP,reactorexcursionandreleaseanalysisprogramrelap,43232605
SK4183,Scientech Safety Monitor,scientechsafetymonitor,43232605
SK4184,Scientech WinNUPRA,scientechwinnupra,43232605
SK4186,Transient reactor analysis code TRAC,transientreactoranalysiscodetrac,43232605
SK4198,TERRASCIENCES TerraStation,terrasciencesterrastation,43232605
SK4213,Energy Efficient Rehab Advisor,energyefficientrehabadvisor,43232605
SK4216,Facility Energy Decision Systems FEDS,facilityenergydecisionsystemsfeds,43232605
SK4220,Home Energy Efficient Design HEED,homeenergyefficientdesignheed,43232604
SK4278,Synopsys Taurus Medici,synopsystaurusmedici,43232605
SK4283,Xcircuit,,43232604
SK4284,Adept Scientific GRAMS,adeptscientificgrams,43232605
SK4288,Optical Research Associates LightTools,opticalresearchassociateslighttools,43232604
SK4312,Video digitizers,videodigitizers,43232103
SK4314,AWS Elastic MapReduce (EMR),awselasticmapreduce(emr),43232314
SK4339,Schneider Electric Direct Coordination,schneiderelectricdirectcoordination,43232605
SK4352,Python Tools for Visual Studio (PTVS),pythontoolsforvisualstudio(ptvs),43232405
SK4372,Digitizing and photogrammetric software,digitizingandphotogrammetricsoftware,43232111
SK4376,Logitech 3D Pro,logitech3dpro,43232604
SK4383,Specification software,specificationsoftware,43232104
SK4394,Design specification database software,designspecificationdatabasesoftware,43232306
SK4412,Digital terrain modeling software,digitalterrainmodelingsoftware,43233506
SK4431,Motorola Digital Signal Processing (DSP) Assembler,motoroladigitalsignalprocessing(dsp)assembler,43232402
SK4472,Logic Design RoboLogix,logicdesignrobologix,43232605
SK4475,Microscopic image capturing software,microscopicimagecapturingsoftware,43232605
SK4477,Scientific Software Group MIGRATE,scientificsoftwaregroupmigrate,43232605
SK4483,Artificial intelligence software,artificialintelligencesoftware,43232608
SK4485,Cimatron computer-aided design and manufacturing software,"cimatron computer aided design and manufacturing software,cimatron computeraided design and manufacturing software,cimatroncomputer-aideddesignandmanufacturingsoftware",43232612
SK4490,Geometric dimensioning and tolerancing software,geometricdimensioningandtolerancingsoftware,43232605
SK4511,Three-dimensional parametric design software,"three dimensional parametric design software,three-dimensionalparametricdesignsoftware,threedimensional parametric design software",43232604
SK4515,Wilcox Associates PC-DMIS,"wilcox associates pc dmis,wilcox associates pcdmis,wilcoxassociatespc-dmis",43232605
SK4533,Visualization Sciences Group VSG Avizo Fire,visualizationsciencesgroupvsgavizofire,43232605
SK4534,Visualization Sciences Group VSG Open Inventor,visualizationsciencesgroupvsgopeninventor,43232102
SK4543,Desktop digital photogrammetry system DDPS,desktopdigitalphotogrammetrysystemddps,43233506
SK4544,Digital elevation model DEM software,digitalelevationmodeldemsoftware,43232605
SK4546,ESRI ArcGIS (analytical or scientific feature),esriarcgis(analyticalorscientificfeature),43232510
SK4551,Foresoft CDS Cogo,foresoftcdscogo,43232605
SK4552,Foresoft CDS Model,foresoftcdsmodel,43232605
SK4561,PCI Geomatics eCognition,pcigeomaticsecognition,43232301
SK4562,PCI Geomatics software,pcigeomaticssoftware,43232605
SK4564,Trimble Digital Fieldbook,trimbledigitalfieldbook,43233506
SK4577,Deoxyribonucleic acid DNA sequence analysis software,deoxyribonucleicaciddnasequenceanalysissoftware,43232605
SK4617,Chang Bioscience ToolKit,changbiosciencetoolkit,43232605
SK4625,Expression DNA and protein sequence software,expressiondnaandproteinsequencesoftware,43232605
SK4637,Macroscopic diffusion software,macroscopicdiffusionsoftware,43232605
SK4651,Yet another scientific artificial reality application YASARA software,yetanotherscientificartificialrealityapplicationyasarasoftware,43232605
SK4653,BD Biosciences CellQuest,bdbiosciencescellquest,43232605
SK4654,BD Biosciences CloneCyt,bdbiosciencesclonecyt,43232605
SK4691,DNA sequencing software,dnasequencingsoftware,43232605
SK4694,Genedata Expressionist,genedataexpressionist,43232605
SK4700,Public genomic databases,publicgenomicdatabases,43232605
SK4701,RNA sequencing software,rnasequencingsoftware,43232605
SK4702,Roche 454 Life Sciences GS Data Analysis,roche454lifesciencesgsdataanalysis,43232605
SK4711,Deoxyribonucleic acid DNA libraries,deoxyribonucleicaciddnalibraries,43232306
SK4768,Water Soil and Hydro-Environmental Decision Support System WATERSHEDSS,"water soil and hydro environmental decision support system watershedss,water soil and hydroenvironmental decision support system watershedss,watersoilandhydro-environmentaldecisionsupportsystemwatershedss",43232605
SK4803,Centers for Disease Control and Prevention CDC WONDER,centersfordiseasecontrolandpreventioncdcwonder,43232306
SK4805,Circle Systems Stat/Transfer,"circle systems stat,circlesystemsstat/transfer,transfer",43232605
SK4821,Medical Scientists HybridAI,medicalscientistshybridai,43232605
SK4822,Medical Scientists MediSave,medicalscientistsmedisave,43232605
SK4844,Software Bisque CCDSoft,softwarebisqueccdsoft,43232605
SK4863,SciGraphica,,43232605
SK4864,SciLab,,43232605
SK4867,SQLite,,43232304
SK4873,Advanced Visual Systems AVS/Express,"advanced visual systems avs,advancedvisualsystemsavs/express,express",43232102
SK4877,Baron Volumetric Imaging and Processing of Integrated Radar VIPIR,baronvolumetricimagingandprocessingofintegratedradarvipir,43232605
SK4893,Unidata McIDAS-X,"unidata mcidas x,unidata mcidasx,unidatamcidas-x",43232605
SK4899,Accelrys DeCipher,accelrysdecipher,43232605
SK4900,Advanced Chemistry Development ACD/1D nuclear magnetic resonance NMR processor,"1d nuclear magnetic resonance nmr processor,advanced chemistry development acd,advancedchemistrydevelopmentacd/1dnuclearmagneticresonancenmrprocessor",43232605
SK4908,ChemSW Chemical Inventory System CIS,chemswchemicalinventorysystemcis,43231508
SK4916,Digital imaging software,digitalimagingsoftware,43232102
SK4927,Network Science IR Mentor Pro,networkscienceirmentorpro,43232605
SK4930,SciQuest PE TurboChrom,sciquestpeturbochrom,43232605
SK4934,Vogel Scientific Software Group CALACO,vogelscientificsoftwaregroupcalaco,43232605
SK4944,International Centre for Diffraction Data ICDD DDView,internationalcentrefordiffractiondataicddddview,43232306
SK4984,Unidata Network common data form NetCDF,unidatanetworkcommondataformnetcdf,43232402
SK4986,Economic Input-Output Life Cycle Assessment EIO-LCA,"economic input output life cycle assessment eio lca,economic inputoutput life cycle assessment eiolca,economicinput-outputlifecycleassessmenteio-lca",43232605
SK4991,ACD Systems Canvas,acdsystemscanvas,43232102
SK5026,MHC Document Express,mhcdocumentexpress,43232202
SK5064,Scientific Software Group FEFLOW,scientificsoftwaregroupfeflow,43232605
SK5065,Scientific Software Group Infinite Extent,scientificsoftwaregroupinfiniteextent,43232605
SK5066,Scientific Software Group SVHeat,scientificsoftwaregroupsvheat,43232605
SK5068,Seismic interpretation software,seismicinterpretationsoftware,43232605
SK5072,Socorro Scientific Software Refract2K,socorroscientificsoftwarerefract2k,43232605
SK5115,Scientific Software Group 3DFATMIC,scientificsoftwaregroup3dfatmic,43232604
SK5116,Scientific Software Group 3DFEMFAT,scientificsoftwaregroup3dfemfat,43232604
